net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
HTTPool_BA	1063940109	banjalukalive.com	24392144	216712	34045	56159	24794
Informedia_Hu	2088469162	csaladvilag.hu	51123757	63329	23631	32960	12871
ARBOmedia_PL	651342010	epuls.pl	73734397	385414	8726	15165	6880
beead	104260390	365comedies.com	107101257	1067	226	365	102
stroeer_digital_media	571289945	alsfelder-allgemeine.de	107946908	37336	4321	6884	1646
RMSI	498868272	antennemv.de	140061971	20147	4325	7351	3355
Omnimedia	1629972935	autoscout24.ch/de	149786410	16954801	2728148	3062910	174027
Goldbach Audience	2137767787	teleticino.ch	161232302	33709	6846	9923	2362
OMS mobile	2119689184	mobil.westfaelische-nachrichten.de	161541635	154911	4924	14546	9519
smartclip_italy	1471916694	videofyme.it	178391097	56	42	47	21
ARBOmedia_RO	940807539	copilulmeu.ro	190294358	14660	6446	8049	4287
OMS	1615459509	marktspiegel.de	191836920	18895	4380	6099	2317
TripleDoubleU	1704466471	joinmytrip.de	267878730	67777	14390	17501	3056
stroeer_digital_media	571289945	hallo-eltern.de	272093244	480716	193046	240737	74297
beead	104260390	nostalgie	298324521	30265	8989	13465	3088
Hi-Media	2000907398	beautyboard.de	306108105	127309	57684	64926	21499
Hi-Media	2000907398	rockhard.de	332893769	290456	57634	73898	16038
ENED_DOL	212246380	marieclaire.gr	340646863	196854	49924	72511	37049
freeXmedia	1516487384	del.org	366232027	4	2	3	2
medienhaus.com	435938190	austria.com	385248753	1723	870	1046	434
Goldbach Audience	2137767787	nick.ch	391098062	243880	54169	64957	8193
glammedia	235681100	beautyblog.ch	401371055	1484	579	938	221
Goldbach Audience	2137767787	inside-it.ch	450136686	32070	9524	13610	5096
LPM_Doctissimo	1593068789	LPM_Doctissimo_doctissimo	477571000	17721359	5209521	6755045	2189491
LPM_Publihebdos	919835570	LPM_Publihebdos_publihebdos	482011541	1388686	486585	645941	254820
beead	104260390	programme	553927817	56950	12756	23667	10571
glammedia	235681100	bluray-dealz.de	682675663	96542	20397	24827	2323
beead	104260390	rummyworld	701977993	1640	164	250	89
yahoo	796370964	lastfm.de	719253591	1334081	337703	455733	153774
beead	104260390	play3-live	756867241	6111	4036	4673	1523
webads.it	1609693476	wiitalia.it	766527815	48882	13187	16566	4239
LPM_FranceTV	1003426551	LPM_FranceTV_france4	815690618	228789	75236	104571	44171
glammedia	235681100	games-news.de	826773647	71644	17863	22177	3736
glammedia	235681100	fashion-insider.de	830234671	6985	4226	4941	2145
ASMI	1569905102	red-carpet.de	857250161	27672	16946	19618	9444
