net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
iqdigital	223088769	iqd-finance.de	24669868	4254133	961992	1231750	263241
Goldbach Audience	2137767787	travel.ch/fr	84522358	16879	4292	7021	2286
freeXmedia	1516487384	tourwerk.com	105403875	663	232	307	94
glammedia	235681100	xbox-newz.de	183572567	18544	5643	6845	1006
RMSI	498868272	radiobochum.de	214587419	25253	7323	10367	2993
SevenOne Media MAGIC (3rd party Video)	842055044	abendblatt.de_SevenoneVIDEO	235010447	2545	653	1235	628
LPM_FranceTV	1003426551	LPM_FranceTV_franceTV	239418210	489906	217952	270611	118218
Hi-Media	2000907398	mysc.de	245062289	220523	19695	20458	373
OMS	1615459509	dnn-online.de	245866624	232277	74750	106394	43363
OMS mobile	2119689184	freiepresse.de	249032139	44765	2668	6667	4196
ARBOmedia_PL	651342010	randka.pl	254783013	6782	1185	2040	1135
freeXmedia	1516487384	outdoor-magazin.com	266446851	164439	47790	63426	15674
OMS	1615459509	muensterlandzeitung.de	294853600	91505	25673	35123	9622
ARBOmedia_PL	651342010	panfu.pl	334012389	1831307	16083	23021	5221
glammedia	235681100	iamnosuperman.com	335232695	767	305	426	168
OMS mobile	2119689184	fr-online.de	342255659	251715	11933	27193	13788
Agora	1380986049	Agora	354447084	143056981	14122052	21672055	6866976
ARBOmedia_PL	651342010	palmtop.pl	362102917	2344	1235	1684	580
mediasports	963038854	golf.de	373300305	409875	148756	169829	17754
ENED_PrimeMedia	1540551690	weather.gr	385961525	194542	19234	50199	31455
ARBOmedia_RO	940807539	nights.ro	394702558	983	582	722	327
ENED_JIP Group	7375908	tlife.gr	417573967	4204647	564211	756516	223593
SevenOne Media mobile	126188777	promipool.de	478457620	227310	29642	57803	36643
Media Group One	973144413	Entertainment	490037064	19009502	3177393	4229895	1219943
IP-Deutschland	2059506885	teleboerse.de	525081136	2503648	414203	548690	82491
ENED_Naftemporiki	1400476319	clickatlife.gr	529173546	799630	97839	163710	104548
ARBOmedia_PL	651342010	Czasnazysk.pl	553969477	159088	6504	11248	3702
OMS	1615459509	oberpfalznetz.de	595705472	402255	42786	72758	27688
ENED_Attica_mobile	2111071951	tophotels.gr	597678234	884	153	229	124
glammedia	235681100	horse-gate-forum.com	610729143	169895	43333	49293	10456
Goldbach Media	177654511	swisstalk.ch	658624538	2	2	2	0
HTTPool_SR	974965399	nekretnine.rs	687258338	911277	56671	98216	34021
IDMnet_PL	1062038902	se.pl	692492993	133	26	47	31
ARBOmedia_PL	651342010	Polstock.pl	742437861	11391	2391	3455	1670
OMS	1615459509	sn-online.de	774995488	110986	33388	44841	16864
glammedia	235681100	magi-mania.de	781684567	87007	39924	47829	14070
LPM_Mondadori	1043954762	LPM_Mondadori_Biba	822762261	16297	6317	8022	2899
ARBOmedia_PL	651342010	ebiznes.net	829317957	1251	317	753	26
OMS	1615459509	marbacher-zeitung.de	837824224	11012	3857	5330	2018
ARBOmedia_PL	651342010	kreskowki.fani.pl	873715429	27350	1850	4136	1927
RMSI	498868272	kino-aktuell.com	878504187	186744	19948	33235	1122
Goldbach Audience	2137767787	largeur.ch	879659126	9418	5197	6040	2064
ENED_Naftemporiki_mobile	298351061	naftemporiki.gr	889780480	257164	25746	47416	31367
glammedia	235681100	ibkammelter.de	897100663	1669	737	989	528
HTTPool_BG	1782510139	gong.bg	903282118	2650903	132624	279336	141031
ARBOmedia_PL	651342010	SkutecznyLekarz.pl	916557029	1267	952	1056	804
OMS	1615459509	musicalradio.de	932493216	22999	2396	3234	729
Smartclip	35854137	DE_dailymotion/smartclip	935199972	158560	157889	158041	280
Smartclip	35854137	spielen.de_tonline/smartclip	1050255268	44363	15432	22158	10308
glammedia	235681100	natune.net	1084835607	15599	5470	7012	1513
Informedia_Hu	2088469162	pestjobs.hu	1088532469	7265	3388	4515	2113
glammedia	235681100	hunde-24.com	1097431607	1224	426	577	246
OMS	1615459509	bgland24.de	1117865376	77504	12554	19666	4494
smartclip_italy	1471916694	pianetatech.pf.it	1132800417	235409	167712	193536	101762
medienhaus.com	435938190	feldkirch.com	1156675897	9343	3241	5028	2262
SevenOne Media MAGIC (3rd party Video)	842055044	autotv-videovalis.tv	1157916559	1323485	696666	879591	466151
HTTPool_RO	651835008	Autoplay.ro	1173557195	2160	717	1046	257
ENED_24Media_mobile	659279516	dpgr.gr/ENED	1245153191	14320	625	1256	733
ENED_Press Box	1953027221	gazzetta.gr	1253575808	11421477	919992	1376023	373243
Goldbach Media	177654511	maedchenspiele.ch	1259132986	5	1	2	1
HTTPool_RO	651835008	businesslive.ro	1302537259	6631	2877	3757	1702
freeXmedia	1516487384	stadionwelt.de	1308191171	148406	35405	46986	15575
ARBOmedia_PL	651342010	kontobankowe-oferta.pl	1310624325	136	116	117	1
medienhaus.com	435938190	meinbezirk.at/medienhaus	1317504697	2570434	514285	659182	201528
ENED_24Media	752387581	dailymotion.com/gr/ENED	1353828616	1014516	134475	249154	152832
ARBOmedia_RO	940807539	anuntulimobiliar.ro	1354394078	20451	2874	4999	2201
ARBOmedia_PL	651342010	i-praca.pl	1401184741	757	357	473	343
beead	104260390	hugolescargot	1408617393	7	7	7	1
glammedia	235681100	gutefilme.info	1442931607	56213	16032	21965	7144
adselect	567149294	business-echo.de	1464505529	249779	98295	135774	2091
Hi-Media/Video	1365112729	viewster.com/himediavideo	1470587780	79109	12465	25962	8057
OMS	1615459509	harzkurier.de	1506164480	43494	10106	14752	5850
OMS	1615459509	rp-online.de	1562541280	10145641	2034351	2691434	723833
stroeer_digital_media	571289945	yourchance.de	1570256708	11415	3333	4678	1838
stroeer_digital_media	571289945	weblogit.net	1608441476	12	3	7	3
ARBOmedia_PL	651342010	odpowiedz.pl	1670025445	26877	18797	22178	15127
LPM_Lagardere	2039924353	LPM_Lagardere_maisondeco	1701785484	577505	221836	290380	108887
RMSI	498868272	radioeuskirchen.de	1749767643	18206	2839	4979	1636
medienhaus.com	435938190	vienna.at	1784473177	450032	163494	211810	77442
Horyzon	2115894781	annoncesjaunes.fr	1785235304	37859	16916	23480	12570
beead	104260390	transfert-foot	1843288241	598	341	419	144
RMSI	498868272	radioduisburg.de	1862554875	37394	8381	12602	4427
freeXmedia	1516487384	planetoutdoor.de	1864404067	15158	6813	8451	3799
ARBOmedia_PL	651342010	palcelizac.pl	1898585989	47726	28039	33785	23255
Purpur Media	832539073	IMMOBILIEN.NET	1903243628	6400624	1515965	1585149	46493
SevenOne Media MAGIC (3rd party Video)	842055044	metal-hammer.de_SevenoneVIDEO	1908551279	8728	6361	7273	4447
stroeer_digital_media	571289945	wetterauer-zeitung.de	1944310756	187386	32605	45566	9485
