net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
HTTPool_BA	1063940109	banjalukalive.com	24392144	223765	35739	59027	24728
Informedia_Hu	2088469162	csaladvilag.hu	51123757	65327	23992	33789	12656
ARBOmedia_PL	651342010	epuls.pl	73734397	489106	10866	18645	8718
beead	104260390	365comedies.com	107101257	1488	258	424	126
stroeer_digital_media	571289945	alsfelder-allgemeine.de	107946908	30084	3875	6203	1643
RMSI	498868272	antennemv.de	140061971	22881	4900	8291	3763
Omnimedia	1629972935	autoscout24.ch/de	149786410	18104716	2964840	3307422	184155
Goldbach Audience	2137767787	teleticino.ch	161232302	28101	6127	9131	2290
OMS mobile	2119689184	mobil.westfaelische-nachrichten.de	161541635	161293	5399	15431	10081
smartclip_italy	1471916694	videofyme.it	178391097	154	98	110	44
ARBOmedia_RO	940807539	copilulmeu.ro	190294358	16091	6423	7935	4207
TripleDoubleU	1704466471	joinmytrip.de	267878730	72689	16980	20258	3228
stroeer_digital_media	571289945	hallo-eltern.de	272093244	435608	166182	208383	65336
beead	104260390	nostalgie	298324521	31995	9558	14110	3238
Hi-Media	2000907398	beautyboard.de	306108105	147532	64083	71815	22334
Hi-Media	2000907398	rockhard.de	332893769	383003	79411	100066	23442
ENED_DOL	212246380	marieclaire.gr	340646863	195146	49626	71635	34658
freeXmedia	1516487384	del.org	366232027	24	11	15	13
medienhaus.com	435938190	austria.com	385248753	1539	883	1038	387
Goldbach Audience	2137767787	nick.ch	391098062	214179	42707	52412	7047
glammedia	235681100	beautyblog.ch	401371055	1576	683	1040	223
Goldbach Audience	2137767787	inside-it.ch	450136686	37380	11701	16301	5599
LPM_Doctissimo	1593068789	LPM_Doctissimo_doctissimo	477571000	18889019	5540950	7132415	2229189
LPM_Publihebdos	919835570	LPM_Publihebdos_publihebdos	482011541	1540827	557877	740202	288404
Goldbach Media	177654511	viva.tv/goldbach	521624242	26425	11726	14349	3723
beead	104260390	programme	553927817	64859	14285	26685	11657
